Barcode	Position	gener	Logica	Bio	chimica	Mate	Score	Ateneo
546554331239854	1	3	7.5	34.5	22.5	19.5	87	esteri
666455451139744	2	4.5	7.5	34.5	22.5	17.6	86.6	esteri
546445432158744	3	6	7.5	34.5	22.5	15.7	86.2	bologna
454454432248744	4	2.6	7.5	33	22.5	19.5	85.1	esteri
455654352138743	5	3	7.5	34.5	20.6	19.5	85.1	esteri
445454353149944	6	3	7.5	34.5	22.5	17.6	85.1	Marche
465533433148955	7	4.5	7.5	34.5	22.5	15.7	84.7	milano
566445532259954	8	6	5.6	34.5	20.6	17.6	84.3	esteri
565645543358943	9	4.5	7.5	34.5	22.5	15	84	bologna
654455352239843	10	3	6	34.5	22.5	18	84	sapienza
466545533249854	11	3	7.5	34.5	20.6	18	83.6	esteri
564555552249943	12	3	7.5	34.5	22.5	16.1	83.6	esteri
665554543248943	13	3	6	34.5	20.6	19.5	83.6	esteri
464554453248844	14	4.5	7.5	32.6	20.6	18	83.2	esteri
544534533258754	15	2.6	7.5	32.6	22.5	18	83.2	esteri
466533343258844	16	4.1	7.5	34.5	20.6	15.7	82.4	esteri
654635432348755	17	3	6	32.6	22.5	18	82.1	esteri
546655343348954	18	3	6	34.5	20.6	18	82.1	esteri
655634443338853	19	6	5.6	33	19.5	17.6	81.7	esteri
554643452138853	20	3	7.5	34.5	22.5	14.2	81.7	bologna
455645432148945	21	3	6	34.5	20.6	17.6	81.7	esteri
656653551348854	22	2.6	7.5	34.5	22.5	14.6	81.7	esteri
666634342159845	23	4.5	7.5	34.5	19.5	15.7	81.7	esteri
665654332239843	24	3	7.5	30.7	22.5	17.6	81.3	esteri
646644531139943	25	1.1	5.6	32.6	22.5	19.5	81.3	esteri
465435541239744	26	3	5.6	34.5	22.5	15.7	81.3	esteri
644434453259755	27	1.1	7.5	34.5	22.5	15.7	81.3	esteri
464534351258943	28	4.1	6	34.5	20.6	16.1	81.3	torino
554543543339954	29	0.7	7.5	34.5	20.6	17.6	80.9	esteri
656654351338845	30	6	7.5	34.5	19.1	13.8	80.9	esteri
455635552138744	31	2.6	7.5	31.5	19.5	19.5	80.6	padova
666433532358753	32	6	7.5	33	17.6	16.5	80.6	bologna
445543532238954	33	3	7.5	34.5	22.5	13.1	80.6	esteri
446443331238843	34	1.5	4.1	34.5	22.5	18	80.6	esteri
465644542139754	35	6	7.5	30.7	19.5	16.5	80.2	esteri
645645452359844	36	3	5.6	33	22.5	16.1	80.2	bologna
555553341149845	37	4.5	6	34.5	19.1	16.1	80.2	bicocca
444554533358945	38	1.5	6	34.5	22.5	15.7	80.2	esteri
555435341139745	39	4.5	7.5	34.5	21	12.7	80.2	esteri
666654452149743	40	1.1	5.6	34.5	22.5	16.5	80.2	sapienza
644443431349853	41	4.5	7.5	29.6	20.6	17.6	79.8	padova
445554453359845	42	3	7.5	31.1	20.6	17.6	79.8	esteri
466453442259755	43	4.5	7.5	33	20.6	14.2	79.8	esteri
545545432238953	44	2.6	6	34.5	22.5	14.2	79.8	pavia
656535443349853	45	1.5	6	33	22.5	16.5	79.5	bologna
665643443349953	46	6	7.5	31.1	20.6	14.2	79.4	milano
555534553259855	47	6	7.5	32.6	18.7	14.6	79.4	esteri
665453533348945	48	4.5	7.5	32.6	18.7	16.1	79.4	esteri
666453553338855	49	2.6	7.5	34.5	20.6	14.2	79.4	esteri
465434433149854	50	1.1	7.5	31.5	22.5	16.5	79.1	esteri
444445453149753	51	1.5	6	33	20.6	18	79.1	esteri
654443341358753	52	1.5	7.5	34.5	22.5	13.1	79.1	milano
665455443258953	53	3	7.5	34.5	17.6	16.5	79.1	padova
546453453258744	54	4.5	7.5	28.8	20.6	17.6	79	esteri
464553542259755	55	4.1	7.5	32.6	16.8	18	79	esteri
665444342339943	56	6	7.5	32.6	18.7	14.2	79	esteri
646643451358943	57	6	3.7	34.5	20.6	14.2	79	catania
456443551149843	58	4.5	7.5	31.1	19.1	16.5	78.7	bologna
465535343258854	59	1.5	6	32.6	22.5	16.1	78.7	esteri
566543432248944	60	4.1	6	33	17.6	18	78.7	bologna
466534343359855	61	1.1	4.1	33	22.5	18	78.7	esteri
544543553249754	62	4.5	6	34.5	22.5	11.2	78.7	esteri
654435551159845	63	2.6	4.1	34.5	22.5	15	78.7	esteri
655634542138744	64	2.6	7.5	34.5	19.1	15	78.7	esteri
554444533359955	65	3	7.5	34.5	20.6	13.1	78.7	padova
646434431148944	66	2.2	7.5	32.6	18.7	17.6	78.6	esteri
566533453149843	67	4.1	6	33	17.2	18	78.3	bologna
555534431149844	68	4.5	6	33	22.5	12.3	78.3	esteri
556434531139853	69	3	7.5	33	18.7	16.1	78.3	esteri
566444433149843	70	1.1	4.1	33	20.6	19.5	78.3	esteri
666643343238845	71	4.5	4.1	33	20.6	16.1	78.3	pavia
454544343248743	72	3	6	34.5	18.7	16.1	78.3	bicocca
455443431239953	73	2.6	6	34.5	20.6	14.6	78.3	esteri
564434543358955	74	1.1	5.6	34.5	20.6	16.5	78.3	esteri
644444352149955	75	4.5	5.6	34.5	19.1	14.6	78.3	esteri
646643542159745	76	1.5	7.5	34.5	19.1	15.7	78.3	esteri
656553452348745	77	1.1	4.1	34.5	20.6	18	78.3	esteri
454443453138754	78	4.5	4.1	34.5	20.6	14.6	78.3	milano
644634553248853	79	4.5	7.5	34.5	19.5	12.3	78.3	sapienza
456554551138754	80	0	7.5	33	21	16.5	78	esteri
645544343259854	81	3	7.5	33	19.5	15	78	esteri
566545542159855	82	1.5	4.5	34.5	22.5	15	78	esteri
554535352159754	83	4.5	7.5	29.2	18.7	18	77.9	esteri
454453433338855	84	2.6	7.5	30.7	20.6	16.5	77.9	esteri
465533351138843	85	1.1	5.6	32.6	22.5	16.1	77.9	esteri
564433531159745	86	4.5	7.5	32.6	18.7	14.6	77.9	esteri
554453431338855	87	2.6	7.5	32.6	19.1	16.1	77.9	milano
566444452138944	88	4.1	7.5	32.6	19.1	14.6	77.9	torino
455434352149953	89	4.5	7.5	34.5	17.2	14.2	77.9	esteri
556453551138955	90	3	5.6	34.5	18.7	16.1	77.9	esteri
554653352158854	91	1.5	4.5	31.1	22.5	18	77.6	esteri
465454532348843	92	6	6	31.5	19.5	14.6	77.6	bologna
466453441339944	93	3	7.5	31.5	20.6	15	77.6	esteri
654633541248755	94	1.1	4.5	34.5	22.5	15	77.6	milano
446443442348944	95	6	5.6	28.8	17.6	19.5	77.5	pavia
445634332139753	96	2.6	7.5	32.6	20.6	14.2	77.5	esteri
565455532249845	97	6	5.6	32.6	18.7	14.6	77.5	sapienza
455454533158853	98	3	7.5	31.1	22.5	13.1	77.2	esteri
454554552138744	99	6	6	31.5	21	12.7	77.2	bologna
656534432259855	100	4.5	7.5	31.5	17.6	16.1	77.2	bologna
665543443149953	101	3	7.5	31.5	20.6	14.6	77.2	esteri
644553541139854	102	6	7.5	32.6	16.1	15	77.2	esteri
665454443238853	103	1.5	6	32.6	20.6	16.5	77.2	esteri
665444532159743	104	4.5	6	33	17.6	16.1	77.2	bologna
645655432138744	105	1.1	7.5	33	21	14.6	77.2	esteri
454543533349845	106	6	7.5	33	17.6	13.1	77.2	pavia
446535342259743	107	3	6	34.5	18.7	15	77.2	esteri
464555343148755	108	3	6	34.5	18.7	15	77.2	esteri
466635353338943	109	2.6	4.5	34.5	22.5	13.1	77.2	esteri
564443352259953	110	3	6	34.5	21	12.7	77.2	esteri
645434453358745	111	1.5	7.5	34.5	19.1	14.6	77.2	esteri
656533541149754	112	4.1	6	34.5	17.6	15	77.2	esteri
666653353148854	113	1.5	7.5	34.5	20.6	13.1	77.2	esteri
545544553139955	114	4.5	6	34.5	18	14.2	77.2	pavia
656553552358744	115	4.5	7.5	26.9	20.6	17.6	77.1	bari
446445433159955	116	4.1	7.5	29.2	20.6	15.7	77.1	esteri
656543541259853	117	4.1	7.5	31.1	16.8	17.6	77.1	esteri
556643542148844	118	4.1	7.5	32.6	16.8	16.1	77.1	esteri
446555431349845	119	2.6	5.6	34.5	18.7	15.7	77.1	esteri
656454353359853	120	4.5	5.6	34.5	18.7	13.8	77.1	pavia
456433332149843	121	6	5.6	34.5	20.6	10.4	77.1	sapienza
656443352239743	122	4.5	7.5	29.2	16.1	19.5	76.8	bicocca
645633543349844	123	1.5	6	32.6	22.5	14.2	76.8	bicocca
556543443138844	124	1.5	5.6	32.6	22.5	14.6	76.8	esteri
655654551159753	125	1.1	6	33	18.7	18	76.8	esteri
456655341348753	126	2.6	4.1	34.5	21	14.6	76.8	esteri
465633541139755	127	1.1	6	34.5	22.5	12.7	76.8	esteri
544444353248853	128	-0.4	7.5	34.5	20.6	14.6	76.8	esteri
464545551348954	129	1.1	6	34.5	18.7	16.5	76.8	padova
665454431248755	130	1.5	5.6	34.5	19.5	15.7	76.8	padova
655533431338955	131	4.5	7.5	34.5	15.3	15	76.8	pavia
654655341349745	132	6	7.5	34.5	15.7	13.1	76.8	sapienza
444634453139943	133	2.2	7.5	28.8	20.6	17.6	76.7	padova
554534552248854	134	6	7.5	30.7	16.8	15.7	76.7	torino
664445542349843	135	4.1	3.7	32.6	22.5	13.8	76.7	esteri
666453542359853	136	2.2	7.5	32.6	16.8	17.6	76.7	esteri
454634542148853	137	6	5.6	34.5	18.7	11.9	76.7	bari
655634432259743	138	6	5.6	34.5	18.7	11.9	76.7	bari
